지점명,매장주소,구,lat,lng
계양,인천광역시 계양구 주부토로 463 (작전동),인천광역시,37.5355668,126.7277899
임학,인천광역시 계양구 장제로 889,인천광역시,37.5463045,126.7393845
간석,인천광역시 남동구 주안로 259번길 6(간석동),인천광역시,37.4634079,126.6989961
구월,인천광역시 남동구 문화로 111 (구월동),인천광역시,37.4490206,126.6993087
서창,인천광역시 남동구 장아산로 130 (서창동),인천광역시,37.4393432,126.7491640
인천논현,"인천광역시 남동구 소래역로 28, 조은프라자 112호 (논현동)",인천광역시,37.3998190,126.7360244
인천만수,"인천광역시 남동구 구월로 318, 1층 (만수동, 대성빌딩)",인천광역시,37.4552699,126.7258453
용현,인천광역시 미추홀구 인하로133번길 4 현진원룸주택 1층,인천광역시,37.4497082,126.6630053
주안,인천광역시 미추홀구 미추홀대로 628  도미노피자 주안점,인천광역시,37.4533260,126.6801088
부평산곡,인천광역시 부평구 마장로 168 (산곡동),인천광역시,37.4933297,126.7042723
부평,"인천광역시 부평구 부평대로 114 (부평동, 부평타워큐아파트)",인천광역시,37.5017939,126.7222077
삼산,"인천광역시 부평구 주부토로 295, 1층 (갈산동)",인천광역시,37.5209197,126.7288180
검단,"인천광역시 서구 완정로92번길 41, 101, 102호 (마전동, 인천검단힐스테이트2차)",인천광역시,37.6006563,126.6634152
인천석남,인천광역시 서구 길주로 60 (석남동),인천광역시,37.5062808,126.6685506
인천연희,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩)",인천광역시,37.5435463,126.6795185
청라,인천광역시 서구 청라라임로138번길 4-4 (연희동),인천광역시,37.5394391,126.6534332
송도2호,인천광역시 연수구 송도미래로 47  105호(송도동),인천광역시,37.3678086,126.6501779
신연수,"인천광역시 연수구 함박로91번길 4, 1층 (연수동)",인천광역시,37.4242566,126.6862700
연수,인천광역시 연수구 용담로 93,인천광역시,37.4163419,126.6759482
옥련,"인천광역시 연수구 청량로184번길 52 (옥련동, 삼선프라자)",인천광역시,37.4253366,126.6547042
동인천역,인천광역시 중구 참외전로 188 도미노피자,인천광역시,37.4714264,126.6364436
인천운서,인천광역시 중구 모랫말로5번길 1(운서동),인천광역시,37.4892446,126.4963449
인천하늘도시,인천광역시 중구 영종진로66번길 15  1층 101호(중산동),인천광역시,37.4992794,126.5761683
고양,"경기도 고양시 덕양구 혜음로 68 (고양동, 중부대학교 근처)",경기도,37.7065976,126.9029702
대화,"경기도 고양시 일산서구 송포로 26, 117호 (대화동, 현대플라자)",경기도,37.6691308,126.7332341
마두백석,경기도 고양시 일산동구 중앙로 1080 남정골드프라자 1층,경기도,37.6456523,126.7852493
원당,경기도 고양시 덕양구 고양대로 1375 (성사동),경기도,37.6546843,126.8370041
장항,"경기도 고양시 일산동구 호수로 606, B동 106~107호 (장항동, 코오롱레이크폴리스I)",경기도,37.6561497,126.7694806
중산탄현,경기도 고양시 일산서구 일중로 46 (일산동),경기도,37.6836134,126.7753756
풍동식사,경기도 고양시 일산동구 고양대로 1025  SK 풍동충전소 건너편,경기도,37.6728239,126.8070359
행신,"경기도 고양시 덕양구 충경로 29, 1층 (행신동)",경기도,37.6156747,126.8329381
화정,경기도 고양시 덕양구 은빛로 53 (화정동),경기도,37.6380414,126.8336423
후곡,"경기도 고양시 일산서구 일산로 511, 1층 (일산동, 태성프라자)",경기도,37.6761414,126.7706753
