Player,Pos,3P,TRB,BLK
Myles Turner,C,0.5,7.3,2.1
Marreese Speights,C,1.3,4.5,0.5
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
J.J. Redick,SG,2.6,2.2,0.2
Al Horford,C,1.3,6.8,1.3
Anthony Davis,C,0.5,11.8,2.2
Wesley Matthews,SG,2.4,3.5,0.2
Mason Plumlee,C,0.0,7.5,1.1
Justin Hamilton,C,0.9,4.1,0.7
Dwyane Wade,SG,0.8,4.5,0.7
Sean Kilpatrick,SG,1.5,4.0,0.1
Jamal Murray,SG,1.4,2.6,0.3
Willie Cauley-Stein,C,0.0,4.5,0.6
Brook Lopez,C,1.8,5.4,1.7
Zach LaVine,SG,2.6,3.4,0.2
Salah Mejri,C,0.0,4.2,0.8
Jamal Crawford,SG,1.4,1.6,0.2
Avery Bradley,SG,2.0,6.1,0.2
A.J. Hammons,C,0.2,1.6,0.6
Andrew Bogut,C,0.0,8.1,0.9
Lou Williams,SG,2.0,2.5,0.2
Troy Daniels,SG,2.1,1.5,0.1
Jason Smith,C,0.5,3.5,0.7
Nikola Vucevic,C,0.3,10.4,1.0
Richaun Holmes,C,0.5,5.5,1.0
J.R. Smith,SG,2.3,2.8,0.3
Ian Mahinmi,C,0.0,4.8,0.8
Marcin Gortat,C,0.0,10.4,0.7
Tarik Black,C,0.0,5.1,0.7
Josh Richardson,SG,1.4,3.2,0.7
Andre Drummond,C,0.0,13.8,1.1
Nicolas Batum,SG,1.8,6.2,0.4
Marco Belinelli,SG,1.4,2.4,0.1
Tim Hardaway,SG,1.9,2.8,0.2
Georgios Papagiannis,C,0.0,3.9,0.8
Jordan Crawford,SG,1.9,1.8,0.1
Edy Tavares,C,0.0,5.5,3.0
Frank Kaminsky,C,1.5,4.5,0.5
Bradley Beal,SG,2.9,3.1,0.3
Joe Harris,SG,1.6,2.8,0.2
Marc Gasol,C,1.4,6.3,1.3
Dion Waiters,SG,1.8,3.3,0.4
Danny Green,SG,1.7,3.3,0.8
Joel Embiid,C,1.2,7.8,2.5
Rudy Gobert,C,0.0,12.8,2.6
Timofey Mozgov,C,0.0,4.9,0.6
Bismack Biyombo,C,0.0,7.0,1.1
Jonas Valanciunas,C,0.0,9.5,0.8
E'Twaun Moore,SG,1.1,2.1,0.4
Roy Hibbert,C,0.0,3.2,1.0
JaVale McGee,C,0.0,3.2,0.9
Manu Ginobili,SG,1.3,2.3,0.2
Tristan Thompson,C,0.0,9.2,1.1
Willie Reed,C,0.0,4.7,0.7
Pau Gasol,C,0.9,7.8,1.1
Buddy Hield,SG,1.8,3.3,0.1
Jordan Clarkson,SG,1.4,3.0,0.1
Austin Rivers,SG,1.5,2.2,0.1
Ben McLemore,SG,1.1,2.1,0.1
Patrick Beverley,SG,1.6,5.9,0.4
Will Barton,SG,1.5,4.3,0.5
Jodie Meeks,SG,1.6,2.1,0.1
Hassan Whiteside,C,0.0,14.1,2.1
Alex Abrines,SG,1.4,1.3,0.1
Devin Booker,SG,1.9,3.2,0.3
Alexis Ajinca,C,0.0,4.5,0.6
Gary Harris,SG,1.9,3.1,0.1
Tony Snell,SG,1.8,3.1,0.2
Klay Thompson,SG,3.4,3.7,0.5
Alex Len,C,0.0,6.6,1.3
Kyle Korver,SG,2.4,2.8,0.3
Eric Gordon,SG,3.3,2.7,0.5
Wayne Ellington,SG,2.4,2.1,0.1
Kosta Koufos,C,0.0,5.7,0.7
Allen Crabbe,SG,1.7,2.9,0.3
Nikola Jokic,C,0.6,9.8,0.8
DeAndre Jordan,C,0.0,13.8,1.7
Montrezl Harrell,C,0.0,3.8,0.7
Courtney Lee,SG,1.4,3.4,0.3
Victor Oladipo,SG,1.9,4.3,0.3
